Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0118358388008823,-9.8542609147656E-07,0.156569924779582,0,0,0,2.47556235264343,0.0033305673628084,1.27251014235594E-06,-3.10947731589501E-05,0.00593147232902395,1.03891627054019E-07,0.00841295540740798,0,0,0,0,0,0,package://rockerbogie_urdf_modified/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rockerbogie_urdf_modified/meshes/base_link.STL,,rockerbogie_body-1,base_cor,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
body_link,-0.0118358388008823,-9.85426091421049E-07,0.036580460556831,0,0,0,2.47556235264343,0.0033305673628084,1.27251014235594E-06,-3.10947731589501E-05,0.00593147232902395,1.03891627054022E-07,0.00841295540740798,0,0,0,0,0,0,package://rockerbogie_urdf_modified/meshes/body_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rockerbogie_urdf_modified/meshes/body_link.STL,,rockerbogie_body-1,body_cor,Axis_body_joint,body_joint,fixed,0,0,0.119989464222751,0,0,0,base_link,0,0,0,,,,,,,,,,,,
leg1_link,-0.00545596256305897,-0.0180000000000001,-0.0239335095394691,0,0,0,0.0837983492960037,6.79563222066731E-05,-1.11485158774801E-19,4.1605414393665E-05,0.000279469531497121,5.20756959867287E-20,0.000240981053606066,0,0,0,0,0,0,package://rockerbogie_urdf_modified/meshes/leg1_link.STL,1,1,1,1,0,0,0,0,0,0,package://rockerbogie_urdf_modified/meshes/leg1_link.STL,,leg_1_motor-2/leg_1-1,leg1_cor,leg1_a,leg1_joint,continuous,0.0999999999999999,0.139,-0.0099978167969167,0,0,0,body_link,0,1,0,0,0,0,0,,,,,,,,
11_link,6.66133814775094E-16,0.01225,-4.16333634234434E-17,0,0,0,0.344407191683159,0.000336046122038097,-1.97510250366014E-19,4.18610807918571E-20,0.000620610570997954,-5.39983504407256E-23,0.000336046122038097,0,0,0,0,0,0,package://rockerbogie_urdf_modified/meshes/11_link.STL,1,1,1,1,0,0,0,0,0,0,package://rockerbogie_urdf_modified/meshes/11_link.STL,,Wheel_3dprintABS_120-1,11_cor,11_a,11_joint,continuous,0.073323,0.00475,-0.067998,0,0,0,leg1_link,0,1,0,,,,,,,,,,,,
12_link,0,0.01225,9.0205620750794E-17,0,0,0,0.344407191683159,0.000336046122038096,-1.97611497272991E-19,-3.87287348324854E-20,0.000620610570997954,1.88994226302792E-22,0.000336046122038096,0,0,0,0,0,0,package://rockerbogie_urdf_modified/meshes/12_link.STL,1,1,1,1,0,0,0,0,0,0,package://rockerbogie_urdf_modified/meshes/12_link.STL,,Wheel_3dprintABS_120-2,12_cor,12_a,12_joint,continuous,-0.095549,0.00475,-0.029501,0,0,0,leg1_link,0,1,0,,,,,,,,,,,,
leg2_link,-0.0046258540709096,0.0180000000000002,-0.0241077141280547,0,0,0,0.0837983492960036,6.52897967480928E-05,8.86085270551766E-18,3.55320319937771E-05,0.000279469531497121,-1.49938998508397E-18,0.000243647579064646,0,0,0,0,0,0,package://rockerbogie_urdf_modified/meshes/leg2_link.STL,1,1,1,1,0,0,0,0,0,0,package://rockerbogie_urdf_modified/meshes/leg2_link.STL,,leg_1_motor-3/leg_1-1,leg2_cor,leg2_a,leg2_joint,continuous,0.0999999999999941,-0.139000000000004,-0.0099978167969167,0,0,0,body_link,0,-1,0,0,0,0,0,,,,,,,,
21_link,4.44089209850063E-16,-0.01225,-8.04911692853238E-16,0,0,0,0.344407191683159,0.000336046122038096,1.16380553020743E-17,3.51149848785042E-20,0.000620610570997954,7.83804194481339E-20,0.000336046122038096,0,0,0,0,0,0,package://rockerbogie_urdf_modified/meshes/21_link.STL,1,1,1,1,0,0,0,0,0,0,package://rockerbogie_urdf_modified/meshes/21_link.STL,,Wheel_3dprintABS_120-6,21_cor,21_a,21_joint,continuous,0.075629,-0.00475,-0.065424,0,0,0,leg2_link,0,1,0,,,,,,,,,,,,
22_link,-4.9960036108132E-16,-0.01225,-4.85722573273506E-17,0,0,0,0.344407191683159,0.000336046122038096,1.17058196548046E-17,3.34734613931062E-20,0.000620610570997954,1.78560626036173E-21,0.000336046122038097,0,0,0,0,0,0,package://rockerbogie_urdf_modified/meshes/22_link.STL,1,1,1,1,0,0,0,0,0,0,package://rockerbogie_urdf_modified/meshes/22_link.STL,,Wheel_3dprintABS_120-5,22_cor,22_a,22_joint,continuous,-0.094473,-0.00475,-0.032784,0,0,0,leg2_link,0,1,0,,,,,,,,,,,,
13_link,0,0.01225,-6.93889390390723E-18,0,0,0,0.344407191683159,0.000336046122038097,-1.97456252015627E-19,-4.16105803878318E-20,0.000620610570997954,-5.33256280878563E-32,0.000336046122038096,0,0,0,0,0,0,package://rockerbogie_urdf_modified/meshes/13_link.STL,1,1,1,1,0,0,0,0,0,0,package://rockerbogie_urdf_modified/meshes/13_link.STL,,Wheel_3dprintABS_120-3,13_cor,13_a,13_joint,continuous,-0.1592,0.14075,-0.059989,0,0,0,body_link,0,1,0,,,,,,,,,,,,
23_link,5.55111512312578E-17,-0.01225,-6.24500451351651E-17,0,0,0,0.34440719168316,0.000336046122038097,-1.66381129941372E-19,2.08069512759835E-20,0.000620610570997954,9.26198944431243E-21,0.000336046122038097,0,0,0,0,0,0,package://rockerbogie_urdf_modified/meshes/23_link.STL,1,1,1,1,0,0,0,0,0,0,package://rockerbogie_urdf_modified/meshes/23_link.STL,,Wheel_3dprintABS_120-4,23_cor,23_a,23_joint,continuous,-0.1592,-0.14075,-0.059989,0,0,0,body_link,0,1,0,,,,,,,,,,,,
